,TARGET_CLASS,criterion,Size,test_suite_sample%,BRANCH_Coverage,LINE_Coverage,WEAKMUTATION_Coverage,CBRANCH_Coverage,patch_found,non_overfitting,inter_patch_found,inter_non_overfitting,non_overfit_ratio,inter_non_overfit_ratio
78,locogp.SortMerge,CBRANCH,3.0,50,17,15,3,17,20,8,383,72,0.4,0.18798955613577000
79,locogp.SortMerge,CBRANCH,1.0,25,11,12,2,6,20,0,408,41,0.0,0.10049019607843100
80,locogp.SortMerge,BRANCH;LINE;WEAKMUTATION;CBRANCH,8.0,100,100,100,97,67,20,0,439,29,0.0,0.06605922551252850
81,locogp.SortMerge,BRANCH;LINE;WEAKMUTATION;CBRANCH,6.0,75,100,97,96,67,20,20,210,210,1.0,1.0
82,locogp.SortMerge,BRANCH;LINE;WEAKMUTATION;CBRANCH,4.0,50,100,97,96,56,20,20,194,194,1.0,1.0
83,locogp.SortMerge,BRANCH;LINE;WEAKMUTATION;CBRANCH,2.0,25,100,97,94,11,20,20,215,215,1.0,1.0
84,locogp.SortMerge,MANUAL,7.0,100,94,97,96,6,20,20,118,118,1.0,1.0
85,locogp.SortInsertion,BRANCH,3.0,100,71,86,62,71,20,6,542,79,0.3,0.14575645756457600
86,locogp.SortInsertion,BRANCH,2.0,75,57,71,62,57,20,5,405,90,0.25,0.2222222222222220
87,locogp.SortInsertion,BRANCH,1.0,50,14,29,7,14,20,1,526,59,0.05,0.11216730038022800
88,locogp.SortInsertion,BRANCH,1.0,25,14,29,7,14,20,2,556,34,0.1,0.06115107913669070
89,locogp.SortInsertion,LINE,3.0,100,86,100,93,86,20,1,543,49,0.05,0.09023941068139960
90,locogp.SortInsertion,LINE,2.0,75,71,86,93,71,20,2,493,58,0.1,0.11764705882352900
91,locogp.SortInsertion,LINE,1.0,50,57,71,91,57,20,8,446,116,0.4,0.2600896860986550
92,locogp.SortInsertion,LINE,1.0,25,57,71,91,57,20,8,412,140,0.4,0.33980582524271800
93,locogp.SortInsertion,WEAKMUTATION,4.0,100,86,86,99,86,20,8,488,115,0.4,0.23565573770491800
94,locogp.SortInsertion,WEAKMUTATION,3.0,75,86,86,97,86,20,6,415,100,0.3,0.24096385542168700
95,locogp.SortInsertion,WEAKMUTATION,2.0,50,71,71,96,71,20,10,447,189,0.5,0.4228187919463090
96,locogp.SortInsertion,WEAKMUTATION,1.0,25,57,71,91,57,20,7,445,115,0.35,0.25842696629213500
97,locogp.SortInsertion,CBRANCH,3.0,100,100,100,96,100,20,4,427,83,0.2,0.19437939110070300
98,locogp.SortInsertion,CBRANCH,2.0,75,29,43,7,29,20,6,526,101,0.3,0.1920152091254750
99,locogp.SortInsertion,CBRANCH,1.0,50,14,29,7,14,20,3,686,82,0.15,0.119533527696793
100,locogp.SortInsertion,CBRANCH,1.0,25,14,29,7,14,20,0,659,52,0.0,0.07890743550834600
101,locogp.SortInsertion,BRANCH;LINE;WEAKMUTATION;CBRANCH,5.0,100,100,100,99,100,20,5,660,89,0.25,0.13484848484848500
102,locogp.SortInsertion,BRANCH;LINE;WEAKMUTATION;CBRANCH,4.0,75,100,100,97,100,20,5,437,93,0.25,0.2128146453089250
103,locogp.SortInsertion,BRANCH;LINE;WEAKMUTATION;CBRANCH,3.0,50,86,86,97,86,20,7,389,100,0.35,0.2570694087403600
104,locogp.SortInsertion,BRANCH;LINE;WEAKMUTATION;CBRANCH,2.0,25,71,71,96,71,20,2,409,86,0.1,0.21026894865525700
105,locogp.SortInsertion,MANUAL,7.0,100,86,86,97,86,20,20,218,218,1.0,1.0
106,locogp.SortSelection,BRANCH,2.0,100,100,100,89,100,20,4,493,54,0.2,0.10953346855983800
107,locogp.SortSelection,BRANCH,1.0,75,14,8,0,14,20,8,402,78,0.4,0.19402985074626900
108,locogp.SortSelection,BRANCH,1.0,50,14,8,0,14,20,6,473,85,0.3,0.17970401691331900
109,locogp.SortSelection,BRANCH,1.0,25,14,8,0,14,20,6,492,65,0.3,0.13211382113821100
110,locogp.SortSelection,LINE,2.0,100,100,100,89,100,20,4,516,77,0.2,0.14922480620155000
111,locogp.SortSelection,LINE,1.0,75,14,8,0,14,20,5,543,80,0.25,0.14732965009208100
112,locogp.SortSelection,LINE,1.0,50,14,8,0,14,20,6,495,114,0.3,0.23030303030303000
113,locogp.SortSelection,LINE,1.0,25,14,8,0,14,20,4,491,43,0.2,0.08757637474541750
114,locogp.SortSelection,WEAKMUTATION,2.0,100,86,92,98,86,20,3,431,64,0.15,0.14849187935034800
115,locogp.SortSelection,WEAKMUTATION,1.0,75,14,17,10,14,20,1,702,21,0.05,0.029914529914529900
116,locogp.SortSelection,WEAKMUTATION,1.0,50,14,17,10,14,20,1,663,46,0.05,0.0693815987933635
117,locogp.SortSelection,WEAKMUTATION,1.0,25,14,17,10,14,20,2,691,75,0.1,0.1085383502170770
118,locogp.SortSelection,CBRANCH,2.0,100,100,100,80,100,20,4,634,91,0.2,0.14353312302839100
119,locogp.SortSelection,CBRANCH,1.0,75,86,92,80,86,20,3,641,53,0.15,0.08268330733229330
120,locogp.SortSelection,CBRANCH,1.0,50,86,92,80,86,20,3,694,67,0.15,0.09654178674351590
121,locogp.SortSelection,CBRANCH,1.0,25,86,92,80,86,20,2,607,61,0.1,0.10049423393739700
122,locogp.SortSelection,BRANCH;LINE;WEAKMUTATION;CBRANCH,3.0,100,100,100,98,100,20,2,788,35,0.1,0.044416243654822300
123,locogp.SortSelection,BRANCH;LINE;WEAKMUTATION;CBRANCH,2.0,75,29,25,10,29,20,2,582,46,0.1,0.07903780068728520
124,locogp.SortSelection,BRANCH;LINE;WEAKMUTATION;CBRANCH,1.0,50,14,8,0,14,20,5,480,87,0.25,0.18125
125,locogp.SortSelection,BRANCH;LINE;WEAKMUTATION;CBRANCH,1.0,25,14,8,0,14,20,2,552,52,0.1,0.09420289855072460
126,locogp.SortSelection,MANUAL,7.0,100,86,92,97,86,20,20,178,178,1.0,1.0
127,locogp.SortBubbleLoops,BRANCH,3.0,100,100,100,97,100,20,5,620,141,0.25,0.22741935483871000
128,locogp.SortBubbleLoops,BRANCH,2.0,75,67,56,29,67,20,2,626,69,0.1,0.11022364217252400
129,locogp.SortBubbleLoops,BRANCH,1.0,50,11,11,0,11,20,7,529,133,0.35,0.2514177693761820
130,locogp.SortBubbleLoops,BRANCH,1.0,25,11,11,0,11,20,8,572,165,0.4,0.28846153846153800
131,locogp.SortBubbleLoops,LINE,3.0,100,100,100,97,100,20,4,639,129,0.2,0.20187793427230000
132,locogp.SortBubbleLoops,LINE,2.0,75,89,89,97,89,20,11,557,319,0.55,0.5727109515260320
133,locogp.SortBubbleLoops,LINE,1.0,50,56,44,29,56,20,6,674,60,0.3,0.08902077151335310
134,locogp.SortBubbleLoops,LINE,1.0,25,56,44,29,56,20,3,743,111,0.15,0.14939434724091500
135,locogp.SortBubbleLoops,WEAKMUTATION,3.0,100,89,89,98,89,20,5,746,153,0.25,0.20509383378016100
136,locogp.SortBubbleLoops,WEAKMUTATION,2.0,75,78,89,89,78,20,8,636,232,0.4,0.36477987421383600
137,locogp.SortBubbleLoops,WEAKMUTATION,1.0,50,56,78,87,56,20,6,490,82,0.3,0.1673469387755100
138,locogp.SortBubbleLoops,WEAKMUTATION,1.0,25,56,78,87,56,20,4,590,98,0.2,0.16610169491525400
139,locogp.SortBubbleLoops,CBRANCH,3.0,100,100,100,96,100,20,6,560,172,0.3,0.30714285714285700
140,locogp.SortBubbleLoops,CBRANCH,2.0,75,89,89,96,89,20,9,538,189,0.45,0.3513011152416360
141,locogp.SortBubbleLoops,CBRANCH,1.0,50,56,78,91,56,20,8,569,182,0.4,0.31985940246045700
142,locogp.SortBubbleLoops,CBRANCH,1.0,25,56,78,91,56,20,10,436,154,0.5,0.3532110091743120
143,locogp.SortBubbleLoops,BRANCH;LINE;WEAKMUTATION;CBRANCH,5.0,100,100,100,98,100,20,9,523,192,0.45,0.367112810707457
144,locogp.SortBubbleLoops,BRANCH;LINE;WEAKMUTATION;CBRANCH,4.0,75,100,100,97,100,20,9,536,234,0.45,0.43656716417910400
145,locogp.SortBubbleLoops,BRANCH;LINE;WEAKMUTATION;CBRANCH,3.0,50,67,56,30,67,20,1,723,53,0.05,0.07330567081604430
146,locogp.SortBubbleLoops,BRANCH;LINE;WEAKMUTATION;CBRANCH,2.0,25,44,44,16,44,20,5,814,154,0.25,0.1891891891891890
147,locogp.SortBubbleLoops,MANUAL,7.0,100,89,89,97,89,20,20,345,344,1.0,0.9971014492753620
148,locogp.SortBubbleDouble,BRANCH,3.0,100,85,57,52,85,20,16,608,411,0.8,0.6759868421052630
149,locogp.SortBubbleDouble,BRANCH,2.0,75,31,29,25,31,20,14,533,405,0.7,0.7598499061913700
150,locogp.SortBubbleDouble,BRANCH,1.0,50,8,7,0,8,20,15,567,417,0.75,0.7354497354497360
151,locogp.SortBubbleDouble,BRANCH,1.0,25,8,7,0,8,20,15,641,444,0.75,0.6926677067082680
152,locogp.SortBubbleDouble,LINE,2.0,100,92,79,81,92,20,16,649,514,0.8,0.7919876733436060
153,locogp.SortBubbleDouble,LINE,1.0,75,85,71,81,85,20,11,648,373,0.55,0.5756172839506170
154,locogp.SortBubbleDouble,LINE,1.0,50,85,71,81,85,20,11,559,324,0.55,0.5796064400715560
155,locogp.SortBubbleDouble,LINE,1.0,25,85,71,81,85,20,12,693,470,0.6,0.6782106782106780
156,locogp.SortBubbleDouble,WEAKMUTATION,2.0,100,85,71,83,85,20,12,576,313,0.6,0.5434027777777780
157,locogp.SortBubbleDouble,WEAKMUTATION,1.0,75,85,71,81,85,20,10,557,277,0.5,0.49730700179533200
158,locogp.SortBubbleDouble,WEAKMUTATION,1.0,50,85,71,81,85,20,11,624,373,0.55,0.5977564102564100
159,locogp.SortBubbleDouble,WEAKMUTATION,1.0,25,85,71,81,85,20,15,542,339,0.75,0.6254612546125460
160,locogp.SortBubbleDouble,CBRANCH,3.0,100,92,79,80,92,20,13,613,371,0.65,0.6052202283849920
161,locogp.SortBubbleDouble,CBRANCH,2.0,75,85,71,80,85,20,17,583,410,0.85,0.7032590051457980
162,locogp.SortBubbleDouble,CBRANCH,1.0,50,77,50,52,77,20,14,525,349,0.7,0.6647619047619050
163,locogp.SortBubbleDouble,CBRANCH,1.0,25,77,50,52,77,20,14,670,433,0.7,0.6462686567164180
164,locogp.SortBubbleDouble,BRANCH;LINE;WEAKMUTATION;CBRANCH,3.0,100,92,79,83,92,20,17,643,497,0.85,0.7729393468118200
165,locogp.SortBubbleDouble,BRANCH;LINE;WEAKMUTATION;CBRANCH,2.0,75,23,29,8,23,20,18,586,471,0.9,0.8037542662116040
166,locogp.SortBubbleDouble,BRANCH;LINE;WEAKMUTATION;CBRANCH,1.0,50,8,7,0,8,20,15,592,373,0.75,0.6300675675675680
167,locogp.SortBubbleDouble,BRANCH;LINE;WEAKMUTATION;CBRANCH,1.0,25,8,7,0,8,20,13,605,355,0.65,0.5867768595041320
168,locogp.SortBubbleDouble,MANUAL,7.0,100,85,71,81,85,20,20,618,618,1.0,1.0
169,locogp.SortQuick,BRANCH,4.0,100,93,100,87,86,20,19,130,105,0.95,0.8076923076923080
170,locogp.SortQuick,BRANCH,3.0,75,86,95,83,79,20,20,111,108,1.0,0.972972972972973
171,locogp.SortQuick,BRANCH,2.0,50,79,95,78,71,20,20,98,92,1.0,0.9387755102040820
172,locogp.SortQuick,BRANCH,1.0,25,7,5,0,7,20,19,115,91,0.95,0.7913043478260870
173,locogp.SortQuick,LINE,3.0,100,86,100,79,79,20,20,115,106,1.0,0.9217391304347830
174,locogp.SortQuick,LINE,2.0,75,79,95,79,71,20,20,102,102,1.0,1.0
175,locogp.SortQuick,LINE,1.0,50,7,5,1,7,20,20,137,137,1.0,1.0
176,locogp.SortQuick,LINE,1.0,25,7,5,1,7,20,20,159,159,1.0,1.0
177,locogp.SortQuick,WEAKMUTATION,5.0,100,86,95,92,79,20,20,170,170,1.0,1.0
178,locogp.SortQuick,WEAKMUTATION,4.0,75,86,95,91,79,20,19,198,157,0.95,0.7929292929292930
179,locogp.SortQuick,WEAKMUTATION,3.0,50,79,95,88,71,20,18,170,122,0.9,0.7176470588235290
180,locogp.SortQuick,WEAKMUTATION,2.0,25,43,52,40,36,20,19,125,112,0.95,0.896
181,locogp.SortQuick,CBRANCH,5.0,100,93,100,90,93,20,19,126,117,0.95,0.9285714285714290
182,locogp.SortQuick,CBRANCH,4.0,75,71,81,63,71,20,20,178,173,1.0,0.9719101123595510
183,locogp.SortQuick,CBRANCH,3.0,50,71,81,63,64,20,18,141,112,0.9,0.7943262411347520
184,locogp.SortQuick,CBRANCH,2.0,25,64,76,58,57,20,20,120,114,1.0,0.95
185,locogp.SortQuick,BRANCH;LINE;WEAKMUTATION;CBRANCH,9.0,100,100,100,97,100,20,19,153,132,0.95,0.8627450980392160
186,locogp.SortQuick,BRANCH;LINE;WEAKMUTATION;CBRANCH,6.0,75,86,95,94,86,20,19,185,163,0.95,0.8810810810810810
187,locogp.SortQuick,BRANCH;LINE;WEAKMUTATION;CBRANCH,3.0,50,86,95,90,79,20,18,174,131,0.9,0.7528735632183910
188,locogp.SortQuick,BRANCH;LINE;WEAKMUTATION;CBRANCH,1.0,25,71,90,78,64,20,20,146,135,1.0,0.9246575342465750
189,locogp.SortQuick,MANUAL,7.0,100,93,95,97,7,20,20,152,152,1.0,1.0
190,locogp.SortRadix,BRANCH,3.0,100,100,100,90,100,20,3,321,63,0.15,0.19626168224299100
191,locogp.SortRadix,BRANCH,2.0,75,93,100,86,93,20,4,399,68,0.2,0.17042606516290700
192,locogp.SortRadix,BRANCH,1.0,50,7,7,0,7,20,2,541,45,0.1,0.08317929759704250
193,locogp.SortRadix,BRANCH,1.0,25,7,7,0,7,20,2,489,62,0.1,0.12678936605317000
194,locogp.SortRadix,LINE,2.0,100,80,100,78,80,20,2,605,24,0.1,0.03966942148760330
195,locogp.SortRadix,LINE,1.0,75,7,7,0,7,20,3,583,33,0.15,0.05660377358490570
196,locogp.SortRadix,LINE,1.0,50,7,7,0,7,20,2,601,32,0.1,0.05324459234608990
197,locogp.SortRadix,LINE,1.0,25,7,7,0,7,20,4,557,50,0.2,0.08976660682226210
198,locogp.SortRadix,WEAKMUTATION,4.0,100,87,93,98,87,20,4,586,36,0.2,0.06143344709897610
199,locogp.SortRadix,WEAKMUTATION,3.0,75,87,93,94,87,20,6,376,59,0.3,0.15691489361702100
200,locogp.SortRadix,WEAKMUTATION,2.0,50,87,93,90,87,20,3,402,66,0.15,0.16417910447761200
201,locogp.SortRadix,WEAKMUTATION,1.0,25,87,93,90,87,20,3,432,51,0.15,0.11805555555555600
202,locogp.SortRadix,CBRANCH,3.0,100,100,100,90,100,20,6,414,63,0.3,0.15217391304347800
203,locogp.SortRadix,CBRANCH,2.0,75,80,100,87,80,20,4,472,62,0.2,0.13135593220339000
204,locogp.SortRadix,CBRANCH,1.0,50,73,93,87,73,20,2,408,34,0.1,0.08333333333333330
205,locogp.SortRadix,CBRANCH,1.0,25,73,93,87,73,20,5,473,59,0.25,0.12473572938689200
206,locogp.SortRadix,BRANCH;LINE;WEAKMUTATION;CBRANCH,6.0,100,100,100,98,100,20,3,428,50,0.15,0.11682242990654200
207,locogp.SortRadix,BRANCH;LINE;WEAKMUTATION;CBRANCH,4.0,75,87,93,98,87,20,3,377,49,0.15,0.129973474801061
208,locogp.SortRadix,BRANCH;LINE;WEAKMUTATION;CBRANCH,2.0,50,67,86,72,67,20,2,552,47,0.1,0.08514492753623190
209,locogp.SortRadix,BRANCH;LINE;WEAKMUTATION;CBRANCH,1.0,25,47,64,62,47,20,2,484,23,0.1,0.047520661157024800
210,locogp.SortRadix,MANUAL,7.0,100,93,93,97,93,20,19,122,114,0.95,0.9344262295081970
